ts,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5
1683078746.322916,766.0146002790242,2753.6613029905884,754.5147409082476,786.7870177713497,1761.4320687115624,1216.5948788936862
1683078746.362037,767.0279798818542,2757.201651340642,755.5291041966985,787.8703358495337,1763.8546416325944,1218.2409251057375
1683078746.3973079,768.0419958128125,2760.74417269559,756.544112444404,788.9543612431798,1766.2788008986274,1219.88803250881
1683078746.431745,769.0566480776708,2764.2888671024652,757.5597656628255,790.0390939101945,1768.7045464699077,1221.5362009948342
1683078746.4643788,770.0719366432837,2767.8357344799088,758.5760638107483,791.124533840346,1771.1318781800119,1223.185430610252
1683078746.501496,771.0878614915988,2771.3847747253876,759.5930068854894,792.2106810021261,1773.5607961915853,1224.8357212491562
1683078746.531258,772.1044225945045,2774.935987742027,760.6105948392778,793.2975353669332,1775.9913001387067,1226.487072934037
1683078746.564733,773.1216199495125,2778.4893736303743,761.6288276854485,794.3850969246978,1778.423390399019,1228.1394855818446
1683078746.601451,774.1394535122674,2782.0449319759678,762.6477053631522,795.4733656346095,1780.8570664154038,1229.7929591795498
1683078746.6328,775.157923276575,2785.602663137786,763.6672278933273,796.5623414831689,1783.292328612881,1231.4474937149869
1683078746.6670542,776.1770292216191,2789.1625666830178,764.687395216021,797.6520244392837,1785.729176521904,1233.1030890795848
1683078746.701781,777.196771322357,2792.724642761697,765.708207342959,798.7424144856403,1788.1676105248282,1234.7597453753613
1683078746.733338,778.2171495579412,2796.2888911419323,766.7296642251017,799.8335115960804,1790.6076300808436,1236.4174623913373
1683078746.772299,779.2381639138413,2799.8553119565213,767.7517658624449,800.9253157467682,1793.0492356186192,1238.0762402683229
1683078746.7971132,780.2598143581862,2803.423904897885,768.7745122250101,802.0178269184088,1795.4924266615383,1239.736078816218
1683078747.0641532,781.2821008953701,2806.994670107705,769.7979032943541,803.1110450595692,1797.9372035818633,1241.39697812199
1683078747.090878,782.3050234583418,2810.567607368808,770.821939036269,804.2049702078485,1800.3835658635483,1243.0589380706706
1683078747.130583,783.3285820896809,2814.1427166628823,771.8466194617088,805.2996022515254,1802.8315138893688,1244.7219586889207
1683078747.163682,784.352776701706,2817.7199979472,772.871944510888,806.3949412598988,1805.2810472758367,1246.3860398931797
1683078747.196901,785.3776073361814,2821.299451069245,773.8979141965746,807.4909871268134,1807.7321662310828,1248.0511816760074
1683078747.23276,786.4030739168645,2824.8810761335335,774.9245284730368,808.5877399094203,1810.1848704695449,1249.7173839794805
1683078747.2647302,787.4291764778905,2828.464872822704,775.9517873397298,809.6851994951115,1812.6391601728913,1251.3846468333275
1683078747.299704,788.4559149499007,2832.050841303477,776.9796907583799,810.783365942218,1815.0950350373703,1253.05297009962
1683078747.333216,789.4832893457839,2835.638981318706,778.0082387188945,811.8822391709688,1817.5524952518426,1254.7223538615242
1683078747.366993,790.5112996269992,2839.2292929547853,779.0374312009416,812.9818191844529,1820.011540599043,1256.3927979667235
1683078747.39971,791.5399457913679,2842.8217759568984,780.0672681780433,814.0821059519993,1822.4721711453392,1258.0643025016104
1683078747.4346392,792.5692277935735,2846.4164305589593,781.0977496325459,815.18309945581,1824.9343867597574,1259.736867326861
1683078747.468745,793.5991456424283,2850.0132562779277,782.1288755491521,816.2847996673789,1827.3981873836876,1261.4104924921853
1683078747.500963,794.6296992877226,2853.612253437335,783.160645893133,817.3872065543704,1829.863573055421,1263.0851778876518
1683078747.533916,795.6608887424013,2857.213421698545,784.1930606644721,818.4903201090157,1832.3305436371902,1264.7609235650386
1683078747.569578,796.692713950996,2860.8167611857825,785.2261198239511,819.5941403078037,1834.79909911127,1266.4377293983052
1683078747.600947,797.7251749325562,2864.4222716758018,786.2598233648447,820.6986671063913,1837.26923944962,1268.1155954463752
1683078747.636131,798.7582716214896,2868.029953265203,787.2941712517667,821.8039005207562,1839.7409645534651,1269.794521566325
1683078747.670731,799.792004051715,2871.6398056127423,788.3291634884818,822.9098404716314,1842.2142744207665,1271.4745078753301
1683078748.461354,800.8263721403439,2875.2518289612535,789.3648000211823,824.0164870001062,1844.6891689661563,1273.1555541729356
1683078748.4919522,801.8613759382647,2878.8660230850946,790.401080870486,825.1238400249996,1847.165648152817,1274.8376605712094
1683078748.5308568,802.8970153561938,2882.4823879037053,791.438005972512,826.2318995786591,1849.643711968645,1276.5208269204154
1683078748.556891,803.933290436821,2886.1009234240573,792.4755753490577,827.3406655750786,1852.1233602924501,1278.2050532982996
1683078748.5980642,804.9702011068814,2889.721629504247,793.5137889390586,828.4501380567784,1854.60459311202,1279.8903395478515
1683078748.6315641,806.0077473890573,2893.3445061784646,794.5526467652131,829.5603169374339,1857.0874104152197,1281.5766857812225
1683078748.659791,807.0459292328414,2896.969553182057,795.5921487645242,830.6712022573023,1859.5718120547824,1283.2640917986796
1683078748.697973,808.0847466358042,2900.596770784248,796.6322949602691,831.7827939293467,1862.0577981031615,1284.9525577348302
1683078748.733666,809.1241995816803,2904.226158476508,797.6730852849138,832.8950920034549,1864.5453683864027,1286.642083428348
1683078748.767178,810.1642880215602,2907.857716644358,798.7145197687505,834.0080963767548,1867.0345230126209,1288.3326689068892
1683078748.798953,811.2050119919851,2911.49144480204,799.756598348429,835.1218070985411,1869.525261730526,1290.0243141591063
1683078748.833554,812.2463714061583,2915.1273432715807,800.7993210315537,836.2362240866828,1872.017584695561,1291.7170190866257
1683078749.011955,813.2883663047064,2918.765411710059,801.8426877881624,837.3513473722395,1874.5114916894647,1293.4107837165252
1683078749.04019,814.3309966135461,2922.4056501323844,802.8866986026989,838.4671768837137,1877.0069828153116,1295.1056079528273
1683078749.078499,815.3742623702158,2926.048058581058,803.9313534443469,839.5837126483226,1879.5040578747273,1296.8014918672225
1683078749.11282,816.4181635014791,2929.692636699498,804.9766523126812,840.7009545924601,1882.0027169293528,1298.4984352942013
1683078749.148718,817.4627000296306,2933.3393849187146,806.0225951643079,841.8189027314954,1884.5029598881752,1300.196438337821
1683078749.183028,818.5078719102947,2936.9883025367863,807.069182006872,842.9375570169705,1887.0047867074916,1301.8955008156497
1683078749.210336,819.5536791383043,2940.6393901308347,808.1164127885509,844.0569174596106,1889.5081973533297,1303.5956228761265
1683078749.2509062,820.6001216886419,2944.2926470480343,809.1642875271472,845.1769839879872,1892.0131917632618,1305.2968042952405
1683078749.2859719,821.6471995375813,2947.9480736741257,810.2128061620238,846.297756643152,1894.5197698585664,1306.9990452172813
1683078749.318593,822.6949126674157,2951.605669744302,811.2619687162806,847.4192353352593,1897.027931684315,1308.702345466546
1683078749.3464441,823.7432610760549,2955.2654351723995,812.3117751317299,848.5414200922818,1899.537677077849,1310.406705122021
1683078749.384602,824.7922447194525,2958.9273700218173,813.3622254178156,849.6643108743639,1902.0490060638745,1312.1121240561845
1683078749.527183,825.8418636001765,2962.5914740395515,814.4133195325325,850.7879076499327,1904.5619185992698,1313.8186023426574
1683078749.5583842,826.8921176761095,2966.257747402059,815.4650574830216,851.9122104189131,1907.076414571985,1315.5261398164478
1683078749.596884,827.9430069567072,2969.926189780537,816.5174392174387,853.0372191329612,1909.5924940199575,1317.2347366249726
1683078749.624814,828.9945313967232,2973.5968013708066,817.5704647496685,854.162933800949,1912.1101568214624,1318.9443925219455
1683078749.795865,830.0466909903979,2977.2695818921566,818.6241340294717,855.2893543701516,1914.629403005066,1320.6551076854548
1683078749.824756,831.0994857206279,2980.944531338666,819.6784470654,856.4164808347255,1917.1502324252897,1322.3668818792805
1683078749.864841,832.1529155587508,2984.621649824214,820.7334038156633,857.5443131735722,1919.6726451394204,1324.0797152998753
1683078749.8926022,833.2069804962216,2988.3009369176757,821.7890042759624,858.6728513605203,1922.196640964124,1325.7936076897267
1683078749.929292,834.2616805128202,2991.982393034961,822.845248422307,859.8020953746716,1924.7222200769038,1327.5085591882594
1683078749.962788,835.3170155788991,2995.6660175687316,823.9021362323357,860.9320451898556,1927.2493821505852,1329.224569690942
1683078749.9990919,836.3729856947472,2999.35181108023,824.959667687676,862.0627008008607,1929.7781274171027,1330.9416391289265
1683078750.031523,837.4295908264586,3003.039772719015,826.0178427811758,863.194062154835,1932.3084555482242,1332.659767589162
1683078750.066806,838.4868309576076,3006.7299034162725,827.0766614733305,864.3261292699411,1934.8403667641012,1334.3789548991754
1683078750.1002612,839.5447060719642,3010.422201979585,828.1361237598522,865.4589020872677,1937.3738608278272,1336.0992011685028
1683078750.294433,840.6032161584194,3014.1166694871968,829.1962296184361,866.5923806137214,1939.908937827286,1337.820506233198
1683078750.322965,841.6623611834398,3017.813304787228,830.2569790328849,867.7265648105193,1942.4455975230346,1339.542870161682
1683078750.360061,842.722141138403,3021.5121088151022,831.3183719759683,868.8614546621964,1944.9838402031353,1341.2662928681261
1683078750.404573,843.7825560020995,3025.213080588328,832.380408436218,869.9970501391984,1947.5236653975337,1342.9907743343956
1683078750.4322848,844.8436057632064,3028.9162210277555,833.4430883934386,871.1333512380328,1950.065073474093,1344.7163145594618
1683078750.510657,845.9052903798781,3032.621528897631,834.5064118234556,872.2703579193854,1952.6080640119649,1346.4429134822822
1683078750.540638,846.9676098731029,3036.3290054286826,835.5703787202646,873.4080701698666,1955.152637283521,1348.1705710776755
1683078750.5826402,848.030564185085,3040.0386492931357,836.6349890440891,874.546487972392,1957.6987929845484,1349.899287311392
1683078750.614007,849.0941533259769,3043.7504616405167,837.7002428104173,875.685611295158,1960.2465313039615,1351.6290621463595
1683078750.646368,850.1583772546,3047.4644412459506,838.7661399509943,876.8254401268532,1962.7958519728822,1353.359895581536
1683078750.7624,851.2232359827334,3051.1805890770497,839.8326805026727,877.9659744303134,1965.3467551495935,1355.0917875870764
1683078750.78983,852.2887294473358,3054.898904243501,840.8998643981564,879.1072142107026,1967.8992406414543,1356.8247380580992
1683078750.8323321,853.3548576871373,3058.619387296874,841.96769165807,880.249159419686,1970.4533084651503,1358.55874710186
1683078750.861801,854.4216206270992,3062.342037783226,843.0361622307915,881.3918100594691,1973.0089585867242,1360.2938145149205
1683078751.059253,855.4890182890357,3066.066855866684,844.1052761253054,882.5351660810459,1975.5661908930247,1362.0299404375148
1683078751.0895271,856.5570506475392,3069.7938413326733,845.1750333055666,883.679227502677,1978.125005426592,1363.7671247108922
1683078751.128778,857.6257176553129,3073.5229942205756,846.2454337558481,884.8239942577846,1980.685402081166,1365.5053674160695
1683078751.162931,858.6950193549053,3077.254314523919,847.3164774682058,885.9694663721424,1983.2473808368934,1367.2446683857804
1683078751.196785,859.7649556393841,3080.987801953602,848.3881644093398,887.1156437777723,1985.8109416212994,1368.9850277400028
1683078751.360207,860.8355266040116,3084.723456677788,849.4604945739098,888.2625264881428,1988.376084420689,1370.7264453093082
1683078751.393762,861.9067321075566,3088.46127851417,850.533467930974,889.4101144755558,1990.9428092385165,1372.4689212127296
1683078751.4306638,862.9785722510079,3092.201267400954,851.6070844775744,890.5584076930569,1993.5111158838404,1374.2124552245414
1683078751.461927,864.0510469028725,3095.9434234321716,852.6813441823248,891.707406175748,1996.0810044918785,1375.9570475627143
1683078751.498796,865.1241561644747,3099.6877463133465,853.7562470366511,892.8571098379567,1998.6524748333059,1377.702697944517
1683078751.530179,866.1978998874463,3103.434236177583,854.8317930083872,894.0075187099834,2001.225527048534,1379.4494065728973
1683078751.564485,867.2722781863481,3107.1828927675624,855.9079820959356,895.1586327375021,2003.8001608969798,1381.197173208098
1683078751.599018,868.3472909221318,3110.933716358708,856.984814273917,896.3104519258694,2006.376376537815,1382.945997996903
1683078751.631513,869.4229381878886,3114.686706387152,858.0622895215045,897.4629762292763,2008.9541737900474,1384.6958807560275
1683078751.6789398,870.4992198616636,3118.4418633736245,859.1404078224127,898.6162056532274,2011.5335526449767,1386.4468216228147
1683078751.70768,871.5761360226194,3122.199186755102,860.2191691648844,899.770140151636,2014.1145131098533,1388.1988203820092
1683078751.7482948,872.6536865658277,3125.958676780372,861.2985735153823,900.9247797240665,2016.6970549769321,1389.9518771743528
1683078751.778543,873.7318715480407,3129.7203332324057,862.3786208788754,902.0801243382266,2019.2811784718024,1391.7059918272485
1683078752.642856,874.8106908893415,3133.4841562246315,863.4593112120443,903.2361739758271,2021.8668832576025,1393.4611644502984
1683078752.675518,875.890144629026,3137.25014543565,864.5406445232791,904.3929286210646,2024.4541695331843,1395.217394920546
1683078752.712267,876.9702327040786,3141.018301049927,865.6226207643657,905.5503882460133,2027.043037135598,1396.9746832119126
1683078752.745686,878.0509551168159,3144.788622920662,866.7052399521846,906.7085528425017,2029.6334859885328,1398.7330293338139
1683078753.1788101,879.1323118563998,3148.5611109529136,867.7885020359963,907.867422378386,2032.2255161325756,1400.4924332479509
1683078753.20668,880.2143028931303,3152.335765104029,868.8724070222936,909.0269968353056,2034.8191275060876,1402.252894909472
1683078753.24541,881.296928211095,3156.1125853133176,869.9569548788743,910.1872761970158,2037.4143200026497,1404.0144142877677
1683078753.280171,882.3801877917607,3159.8915716080264,871.0421455934542,911.3482604375375,2040.0110936918902,1405.7769913805694
1683078753.311522,883.4640816304328,3163.6727237842565,872.1279791522795,912.5099495623479,2042.6094484217142,1407.5406261298083
1683078753.347349,884.5486096921034,3167.4560419385116,873.2144555292289,913.6723434930963,2045.2093841864646,1409.3053185476972
1683078753.381221,885.6337719803344,3171.2415257924267,874.301574715394,914.8354422893418,2047.8109009797754,1411.0710685196127
1683078753.414939,886.7195684514992,3175.029175654824,875.3893366839172,915.999245846339,2050.413998704852,1412.8378761566553
1683078753.441717,887.8059991144512,3178.8189909929188,876.4777414223734,917.1637542154518,2053.0186773676273,1414.6057412585412
1683078753.481973,888.8930639333394,3182.6109722568426,877.5667889165062,918.3289673335661,2055.6249368529243,1416.3746639789417
1683078753.514577,889.9807629053994,3186.405118799609,878.6564791446626,919.4948851956723,2058.232777208436,1418.1446441302257
1683078753.551362,891.0690959967335,3190.2014312857245,879.746812083119,920.6615077953371,2060.8421983451285,1419.9156818016857
1683078753.583856,892.158063203773,3193.9999088803916,880.8377877307425,921.8288350733073,2063.4532002166893,1421.6877768750396
1683078753.616684,893.247664505632,3197.800552137054,881.9294060540631,922.9968670468404,2066.0657827895884,1423.4609293957217
1683078753.650112,894.3378998864528,3201.6033606837364,883.0216670476078,924.1656036832252,2068.679945997511,1425.2351392575717
1683078753.683587,895.428769326901,3205.408334671541,884.1145706787694,925.3350449720378,2071.2956899082724,1427.0104065333285
1683078753.716834,896.52027282111,3209.2154736832854,885.2081169568427,926.5051908643859,2073.913014252082,1428.7867310927047
1683078753.752478,897.6124103141126,3213.0247781932408,886.3023058248808,927.6760413823537,2076.5319192588895,1430.5641129847497
1683078753.789661,898.705181858234,3216.8362476295642,887.3971373151268,928.8475964666472,2079.1524046364957,1432.3425521122758
1683078753.823584,899.798587353853,3220.649882314263,888.4926113541704,930.0198561259805,2081.7744705944147,1434.1220485511428
1683078753.854058,900.8926268545142,3224.4656818856965,889.5887279831866,931.1928203300916,2084.3981168168116,1435.902602120511
1683078753.888421,901.9873003069815,3228.283646585832,890.685487137128,932.3664890585646,2087.0233435379178,1437.6842129591423
1683078753.922601,903.0826076969265,3232.1037760427876,891.7828888265833,933.5408622854021,2089.650150463859,1439.4668809261623
1683078753.9563231,904.178549017547,3235.9260705278875,892.8809330199568,934.7159400161105,2092.278537791354,1441.2506060398623
1683078753.991649,905.2751242464155,3239.7505296583,893.9796197137032,935.891722182272,2094.9085052167734,1443.0353882282682
1683078754.0243452,906.372333365561,3243.5771536596108,895.07894887013,937.0682088369745,2097.5400529603653,1444.8212275650212
1683078754.05729,907.4701763701939,3247.4059423615236,896.1789205023209,938.2453998905679,2100.17318075506,1446.6081238773872
1683078754.093122,908.5686532221064,3251.2368956059677,897.2795345605361,939.4232953594859,2102.8078887661777,1448.396077279245
1683078754.123623,909.6677639135714,3255.0700135105017,898.3807910543961,940.6018952261406,2105.4441767942417,1450.1850876071965
1683078754.158839,910.7675084500568,3258.9052959809924,899.4826899474309,941.7811994573098,2108.082044885413,1451.9751549932491
1683078754.19513,911.8678867856407,3262.742742822353,900.5852312340744,942.9612080417581,2110.7214929074426,1453.7662792307037
1683078754.2324522,912.9688989107418,3266.582354116175,901.6884148967494,944.1419209461221,2113.3625209436,1455.5584604767787
1683078754.262353,914.0705448200034,3270.424129843914,902.7922409172095,945.3233381843712,2116.0051288819964,1457.3516985106476
1683078754.296992,915.1728244767451,3274.268069771278,903.8967092735722,946.505459691078,2118.6493166360256,1459.1459935070882
1683078754.33126,916.2757379015808,3278.1141740561975,905.0018199547256,947.6882854989396,2121.2950842723008,1460.9413452306137
1683078754.362327,917.3792850272393,3281.9624423733267,906.1075729429344,948.8718155385183,2123.942431676148,1462.7377538809267
1683078754.396716,918.4834658853655,3285.812875096953,907.2139682253642,950.0560498259855,2126.591358838117,1464.535219215011
1683078754.431378,919.5882804132982,3289.665471502464,908.3210057736046,951.240988335598,2129.241865710299,1466.333741358221
1683078754.4636521,920.6937286536904,3293.5202324501997,909.4286855815293,952.4266310280884,2131.893952173421,1468.133320181336
1683078754.501201,921.7998105213671,3297.377156889639,910.5370076272974,953.6129779150062,2134.5476184077665,1469.9339557421679
1683078754.531054,922.9065260607349,3301.2362456302103,911.6459719055072,954.8000289492153,2137.2028640536705,1471.7356479417717
1683078754.561954,924.0138752118019,3305.097497948628,912.7555783712163,955.9877841344253,2139.859689391122,1473.5383968461276
1683078754.598204,925.1218579904352,3308.9609142541176,913.8658270519005,957.1762434346608,2142.5180941092476,1475.3422022862935
1683078754.630993,926.2304743557397,3312.826494269425,914.976717879109,958.3654068421826,2145.1780784258535,1477.1470643820965
1683078754.66702,927.3397243127032,3316.6942379603056,916.0882508925079,959.5552743352637,2147.8396419967303,1478.9529830098438
1683078754.692229,928.4496078212453,3320.564145381547,917.2004260144834,960.74584589433,2150.5027851560835,1480.759958211741
1683078754.731078,929.5601248995005,3324.4362162067605,918.3132432878105,961.9371214986297,2153.167507476654,1482.5679898701292
1683078754.7671978,930.671275477446,3328.3104508648016,919.4267026493027,963.1291011360271,2155.833809244831,1484.3770780886707
1683078754.7999501,931.7830596199037,3332.186848734254,920.5408041177145,964.3217847799227,2158.5016900967103,1486.187222685328
1683078754.834704,932.8954772111164,3336.0654103051247,921.6555476501309,965.5151724055544,2161.1711504190685,1487.998423801811
1683078754.868282,934.0085283319621,3339.9461348539594,922.7709332468075,966.7092640297695,2163.8421896466602,1489.8106812377446
1683078754.905559,935.1222128788152,3343.8290232889062,923.8869608790123,967.9040595717479,2166.5148082662454,1491.6239951335042
1683078754.934607,936.2365309208329,3347.7140743471555,925.003630543208,969.0995590918325,2169.189005841902,1493.4383653171537
1683078754.96817,937.3514823695149,3351.6012892775207,926.1209422156883,970.2957624923251,2171.8647825438366,1495.2537918640176
1683078755.004355,938.4670672632853,3355.4906667506098,927.238895876654,971.4926698137318,2174.5421382661393,1497.0702747097669
1683078755.040666,939.5832855316914,3359.3822079594165,928.3574915224216,972.6902810012261,2177.2210729597364,1498.887813824066
1683078755.0709949,940.7001372318726,3363.275911666513,929.4767291257406,973.8885960515877,2179.90158661606,1500.7064091869026
1683078755.1009321,941.8176222614421,3367.171778846976,930.5966086692174,975.087614963127,2182.5836791490356,1502.5260607806028
1683078755.139833,942.9357406866703,3371.0698085160984,931.7171301484526,976.2873376611716,2185.267350631279,1504.3467685736891
1683078755.174758,944.0544924229644,3374.9700015498843,932.8382935382022,977.4877642244198,2187.9526008370935,1506.1685325286674
1683078755.200913,945.173877511022,3378.8723570163424,933.960098819894,978.6888945160264,2190.6394299200165,1507.9913526583596
1683078755.240694,946.2938958965958,3382.7768756904197,935.0825459909497,979.8907286207132,2193.3278377513634,1509.815228840304
1683078755.273856,947.4145475753211,3386.683556570094,936.2056350183063,981.0932664441093,2196.0178242418356,1511.6401612043614
1683078755.307101,948.5358325455263,3390.5924007755602,937.3293658971672,982.2965080359793,2198.709389479142,1513.4661495583746
1683078755.34268,949.6577507635546,3394.5034070716492,938.4537386138187,983.5004533171453,2201.4025332655524,1515.293194028067
1683078755.378906,950.780302251905,3398.416576352751,939.5787531360688,984.7051022981966,2204.097255752284,1517.12129441534
1683078755.4108238,951.9034869493491,3402.3319078434934,940.7044094663015,985.9104549838772,2206.7935567003037,1518.950450923168
1683078755.44321,953.0273048833327,3406.2494021288508,941.8307075789347,987.1165112760622,2209.49143623786,1520.7806632819043
1683078755.478135,954.1517560099867,3410.1690584848247,942.9576474673102,988.323271288066,2212.190894239468,1522.6119316569498
1683078755.5104818,955.2768403261817,3414.0908775956054,944.0852290933011,989.530734849947,2214.891930670919,1524.444255911472
1683078755.544426,956.4025578117224,3418.014858664927,945.2134524755647,990.738902080082,2217.5945455553356,1526.2776360822677
1683078755.576774,957.5289084517913,3421.9410024349913,946.342317563163,991.947772850547,2220.298738763734,1528.1120720667761
1683078755.614914,958.6558922369518,3425.8693079107625,947.4718243651539,993.1573472288571,2223.0045103112175,1529.9475639869047
1683078755.6469471,959.7835091468698,3429.79977610022,948.601972855547,994.367625132692,2225.711860200328,1531.784111566947
1683078755.68347,960.9117591566567,3433.73240597503,949.7327630239874,995.5786065884478,2228.4207882620954,1533.6217151055546
1683078755.715181,962.0406422825887,3437.6671982246544,950.8641948406254,996.7902915702016,2231.1312946132157,1535.4603742690153
1683078755.75135,963.170158448013,3441.60415220477,951.9962683136579,998.0026800272952,2233.8433790748545,1537.300089291605
1683078755.863428,964.3003077354296,3445.543268409626,953.1289834027672,999.2157719832409,2236.5570417726044,1539.1408599143308
1683078755.888621,965.4310900059223,3449.4845463717747,954.2623401121034,1000.4295674050566,2239.2722824280636,1540.982686297725
1683078756.0603461,966.5625053656901,3453.427986218183,955.396338409856,1001.6440662630744,2241.989101335117,1542.8255683085636
1683078756.090882,967.6945537052059,3457.373587955121,956.5309782991292,1002.8592685559149,2244.7074981326214,1544.6695059990282
1683078756.158339,968.8272350750681,3461.321351424048,957.6662597402641,1004.0751742749625,2247.4274729437575,1546.5144992607393
1683078756.193374,969.9605494116496,3465.2712764701605,958.8021827447869,1005.2917833575568,2250.1490257527335,1548.3605481291104
1683078756.2277818,971.094496729144,3469.223363412509,959.9387472714194,1006.5090958481524,2252.872156438972,1550.2076525717093
1683078756.2615628,972.2290770067617,3473.177611806701,961.0759533269066,1007.7271116687607,2255.5968650827112,1552.0558125130024
1683078756.343998,973.3642902351753,3477.1340218102096,962.2138008779051,1008.9458308559776,2258.323151424181,1553.9050280137453
1683078756.3749819,974.5001363695766,3481.092593328257,963.3522899261227,1010.1652533412671,2261.0510156941195,1555.7552989975795
1683078756.412273,975.6366154436736,3485.0533262695953,964.4914204361195,1011.3853791639283,2263.780457691814,1557.6066254129275
1683078756.447577,976.7737273782067,3489.0162205896204,965.6311924174589,1012.6062082356626,2266.511477399715,1559.4590073022675
1683078756.481177,977.9114722501645,3492.9812764207527,966.7716058257702,1013.8277406273069,2269.244074857569,1561.3124446127792
1683078756.558986,979.0498499148426,3496.9484934227507,967.912660671662,1015.0499762231119,2271.978249906424,1563.1669372731815
1683078756.5954602,980.1888605197286,3500.9178717349096,969.0543569280976,1016.2729151035138,2274.7140026452735,1565.0224853673124
1683078757.0947049,981.3285038845355,3504.8894111959667,970.1966945699335,1017.4965571687717,2277.4513329000883,1566.8790887175473
1683078757.1237068,982.4687801357537,3508.863111952763,971.3396736140303,1018.7209024536542,2280.1902407186863,1568.7367474843797
1683078757.164085,983.6096891386999,3512.8389736307895,972.4832940023357,1019.9459509073538,2282.930726077258,1570.5954614172688
1683078757.191604,984.7512309883332,3516.8169966459996,973.6275557521815,1021.1717025442092,2285.6727889349886,1572.4552307449667
1683078757.233648,985.8934055752587,3520.797180320358,974.7724588425818,1022.3981573367826,2288.4164291407624,1574.3160552572995
1683078757.266909,987.0362129520096,3524.7795253404856,975.9180032474861,1023.6253152413333,2291.16164682301,1576.177935005389
1683078757.2997792,988.1796530585627,3528.7640308538694,977.0641889525897,1024.8531762796133,2293.90844181388,1578.0408699422255
1683078757.3324502,989.3237259252311,3532.7506976872587,978.2110159655944,1026.0817404012596,2296.656814207244,1579.9048600809076
1683078757.3690639,990.4684314897517,3536.7395249000588,979.3584842279915,1027.3110076327653,2299.4067637798717,1581.7699053087417
1683078757.7254279,991.6137697665793,3540.7305132819774,980.5065937812527,1028.5409778905084,2302.1582907964594,1583.6360057328727
1683078757.755073,992.7597407466305,3544.723661980577,981.6553445561173,1029.771651242959,2304.911394808397,1585.503161183059
1683078757.797013,993.9063443794826,3548.718971792593,982.8047365767112,1031.0030275840459,2307.666076195169,1587.3713717986616
1683078757.8306198,995.053580691922,3552.716441775229,983.9547698036896,1032.2351069639606,2310.422334582438,1589.240637359764
